model,dataset,n,temp,n_graded,n_skipped,k,pass_at_k
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K4_math_hard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,1,0.057813
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K4_math_hard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,2,0.087842
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K4_math_hard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,4,0.118784
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K4_math_hard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,8,0.151487
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K4_math_hard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,16,0.189650
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K4_math_hard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,32,0.226436
/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K4_math_hard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,64,0.250000
/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/jsd_dw_lin_naive_K3_math_hard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,1,0.298125
/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/jsd_dw_lin_naive_K3_math_hard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,2,0.391324
/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/jsd_dw_lin_naive_K3_math_hard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,4,0.464813
/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/jsd_dw_lin_naive_K3_math_hard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,8,0.521172
/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/jsd_dw_lin_naive_K3_math_hard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,16,0.569969
/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/jsd_dw_lin_naive_K3_math_hard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,32,0.620509
/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/jsd_dw_lin_naive_K3_math_hard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,64,0.670000
/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/jsd_dw_lin_naive_K3_math_hard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,1,0.668125
